0; 0; 1;
1; 2; 0;
2; 2; 1;
3; 1; 11;
4; 3; 2;
5; 10; 3;
6; 2; 4;
7; 5; 3;
8; 10; 9;
9; 4; 6;
10; 7; 5;
11; 9; 8;
12; 4; 5;
13; 5; 9;
14; 6; 7;
15; 8; 7;
16; 7; 25;
17; 24; 8;
18; 25; 24;
19; 24; 23;
20; 30; 23;
21; 23; 22;
22; 22; 19;
23; 18; 20;
24; 21; 17;
25; 9; 17;
26; 17; 18;
27; 18; 19;
28; 22; 20;
29; 20; 21;
30; 21; 8;
31; 19; 30;
32; 19; 15;
33; 16; 18;
34; 15; 16;
35; 16; 10;
36; 11; 10;
37; 11; 14;
38; 14; 29;
39; 29; 28;
40; 28; 27;
41; 13; 27;
42; 27; 26;
43; 12; 13;
44; 26; 12;
45; 12; 11;
46; 29; 30;
47; 14; 13;
